P#[2.8719599395291064, 6.843483262267661, 9.067442232627286, 10.15070531836095, 19.771749870288104, 13.572764314065527, 20.39505298399692]
Z#[2.6978154240428127, 5.795606452027274, 10.431739945837245, 10.940190248829168, 21.714231038744554, 14.091429209923687, -21.864655859896935]
2#[2.7001022727119133, 5.710452078509449, 9.696109144367243, 10.277767164813739, 20.60729752751483, 14.374194475713521, 20.314918262023625]
6#[2.855424463074204, 6.209975849205673, 9.33496144510374, 10.237039416726178, 20.22387004476284, 13.55295722798287, -20.132732888323613]
7#[2.673264530576429, 5.699345937780519, 8.556033632716408, 8.872005191697706, 17.58648260649484, 11.739218070695374, -18.924196755761244]
N#[2.8499291067464485, 6.895023020714019, 10.630964593254749, 11.856789246335024, -23.187071708376283, -15.404150492143954, -23.342544604642793]
Y#[2.7286941402304232, 5.88549186521162, 8.332678026226294, 9.296451230708898, 18.12246552172206, 12.251776616049805, 18.75569635063178]
P#[2.7715972256861163, 6.070794464685668, 8.754734169816848, 9.426535187196631, 18.51720050429693, 12.479426588408595, -20.44242792990143]
O#[2.671224181103935, 5.843403164305997, 12.044212486997916, 11.799619806750705, 23.784684779216057, 14.815372319251022, -24.020540241246167]
9#[2.8093482001044894, 6.014497617291166, 9.245989720688312, 10.015278210096996, 19.76682619193516, 13.197611370594855, -19.830709876420883]
J#[2.4928954109819186, 5.05480167309672, 8.305063283431663, 8.790940933605762, 17.40770229288875, 11.49625536917268, 17.622127827464105]
W#[2.9548801894702477, 6.663900396200995, 10.787572219527682, 10.759474751729245, -21.533006990293128, 14.091568950067735, -23.730302909538985]
5#[2.719476682443704, 5.791568120564429, 10.073166821667808, 10.323656007653936, 20.525546345788197, 13.337066118536262, -21.42145928175059]
P#[2.827544125749261, 6.598212466203572, 8.911398843052906, 9.74322579527669, 19.094756138838864, 13.051985064511852, 19.558842398652278]
Z#[2.6107234427408206, 5.581359366841032, 9.166217687240078, 9.445368126803341, 18.756721677390637, 12.239078259215939, -19.549750051361862]
5#[2.666823319458564, 5.651320186703916, 9.749007589199964, 9.789785368386763, 19.563964185394084, 12.617182455855058, 20.39012564223038]
0#[2.755656274316676, 6.08614661818138, 10.993763113167953, 10.889616622862267, 21.836428447932313, 13.959473149912194, -22.647521626924306]
8#[2.87355126874855, 6.249570572586378, 13.255620077674223, 11.184014747776693, -24.49760125382807, 14.310584435433322, 23.40524674843491]
9#[2.8404584267868085, 6.203459503991231, 9.263800994792518, 9.978458969897343, 19.644599275390995, 13.132055665540447, -19.963426605726433]
1#[2.7045577052624457, 5.508667425605039, 8.68175709785578, 8.869623298723623, 17.645675871916637, 11.625217691262531, -19.0342927608419]
P#[2.7773180551012224, 6.280637173931535, 8.77149685875972, 9.617375021469353, 18.835072314818863, 12.769675743058645, 19.30839749220125]
Z#[2.5556734819916294, 5.343800942538527, 11.101850121716168, 11.476064880796205, 22.765101415930456, 14.188304066137656, -24.48453240932306]
2#[2.6428263752105585, 5.545227018379401, 9.667375226295626, 9.982151079462966, 19.849074830195548, 12.95355821771656, 20.183577342324444]
0#[2.7439317618026915, 6.031539347288344, 12.02923895155915, 12.309974861271026, -24.481745950331064, -15.339215795378042, 25.48139316310495]
6#[2.820269249127829, 6.121960034864912, 9.225595205763257, 10.070619456350679, 19.837595109550527, 13.28498474556428, -19.906300546145037]
